iter	Logloss
0	0.6720344425
1	0.6555517697
2	0.6388696102
3	0.6244834365
4	0.6118696092
5	0.5998099095
6	0.5896070237
7	0.5791811093
8	0.5702828442
9	0.564383408
10	0.558846514
11	0.5529092152
12	0.5478339755
13	0.542718536
14	0.5378649315
15	0.5338823026
16	0.5308810582
17	0.5277457581
18	0.5249948856
19	0.5223755928
20	0.5198100591
21	0.5176780965
22	0.5159914029
23	0.5138067552
24	0.5124505051
25	0.5108637736
26	0.5087934404
27	0.5071955433
28	0.5053876837
29	0.5040996994
30	0.5026711277
31	0.5012455528
32	0.5003348521
33	0.4993584422
34	0.4979179496
35	0.4967739426
36	0.4961211369
37	0.4956790766
38	0.4944553762
39	0.4934531551
40	0.4925939924
41	0.4917118743
42	0.4910728415
43	0.4905369573
44	0.4898789904
45	0.4891751432
46	0.488095046
47	0.4871766362
48	0.4864132377
49	0.485568406
50	0.484704517
51	0.4839263087
52	0.4832646119
53	0.482736889
54	0.482381137
55	0.4818335949
56	0.4813848848
57	0.4809189491
58	0.4800690154
59	0.4797726304
60	0.4794684766
61	0.4786322366
62	0.4777532005
63	0.4772635609
64	0.4768228757
65	0.4762491485
66	0.4758230136
67	0.4754655717
68	0.4747304333
69	0.4744710143
70	0.4736410999
71	0.4733876669
72	0.4728046476
73	0.4726278681
74	0.4717513337
75	0.4712929064
76	0.4704381758
77	0.4701941228
78	0.4698269413
79	0.4690483701
80	0.4685750943
81	0.4681543532
82	0.4677402026
83	0.4674765005
84	0.4671212707
85	0.4668132792
86	0.4661933045
87	0.4658529136
88	0.4651948561
89	0.4647153833
90	0.4643689115
91	0.4637733935
92	0.4633861453
93	0.4628932725
94	0.4624867077
95	0.4621656451
96	0.4618102612
97	0.4613241641
98	0.4610064735
99	0.4605607593
100	0.4603147252
101	0.4600342267
102	0.4597796322
103	0.4595667907
104	0.45914428
105	0.4588946192
106	0.4585816894
107	0.4583478752
108	0.4581384056
109	0.4577803489
110	0.4572491561
111	0.4565417167
112	0.4563710337
113	0.4560865472
114	0.4557247327
115	0.4554456295
116	0.4551421063
117	0.4548676067
118	0.4543647028
119	0.4540038239
120	0.4536335498
121	0.453239647
122	0.4530953283
123	0.4528268154
124	0.4525234612
125	0.4518918527
126	0.451287081
127	0.4508671332
128	0.4505144102
129	0.4503877805
130	0.4502712641
131	0.4498809733
132	0.449643638
133	0.4491424518
134	0.448841757
135	0.4483371905
136	0.448018343
137	0.4477533849
138	0.4471556824
139	0.4465763786
140	0.4461407948
141	0.4457696691
142	0.4451575175
143	0.4448368392
144	0.4443772839
145	0.4437738684
146	0.4432555577
147	0.4429009548
148	0.4426870437
149	0.4419503863
150	0.4417910395
151	0.4414470945
152	0.4405877968
153	0.440191243
154	0.4398243317
155	0.439266437
156	0.4390460732
157	0.4387311473
158	0.4384277954
159	0.438165162
160	0.4380997883
161	0.4378174367
162	0.4373899296
163	0.4372390374
164	0.4371810232
165	0.4369447246
166	0.4364211895
167	0.436187286
168	0.4360884436
169	0.4357537629
170	0.4353002329
171	0.4349945727
172	0.4348790257
173	0.4344227581
174	0.434191167
175	0.4339537304
176	0.4338419836
177	0.4335476181
178	0.4332590494
179	0.4329916864
180	0.4324340875
181	0.4322667892
182	0.4320560782
183	0.4317983129
184	0.4312894662
185	0.4308582881
186	0.4304887074
187	0.4299552663
188	0.4298967806
189	0.4297002208
190	0.4295227956
191	0.4290731566
192	0.4287624614
193	0.4286825127
194	0.4283427145
195	0.4280028785
196	0.4279798262
197	0.4275624872
198	0.4269364072
199	0.426470393
200	0.4263006109
201	0.4255687812
202	0.4249709154
203	0.4249528574
204	0.4243756438
205	0.4241771472
206	0.4240879836
207	0.4237435011
208	0.4230996992
209	0.4229901118
210	0.4224137338
211	0.4223661377
212	0.4223175782
213	0.4222178316
214	0.4218430273
215	0.4214716646
216	0.4207948439
217	0.4199592765
218	0.4197411507
219	0.4194617283
220	0.4186916048
221	0.4186458796
222	0.4180779068
223	0.4176182591
224	0.4175127944
225	0.4170744478
226	0.4165695318
227	0.4160112897
228	0.4157766662
229	0.4155098293
230	0.4153264333
231	0.4150250635
232	0.4147134961
233	0.4141907461
234	0.4137847468
235	0.4134904049
236	0.4127242945
